label,all_image_count,training_image_count
C41H76NO7P|-H,2,2
C41H76NO8P|-H,4,4
C41H78NO8P|-H,8,8
C41H78O6|+Cl,1,1
C41H79O12P|[M]-,1,1
C41H79O13P|[M]-,1,1
C41H80NO8P|-H,4,4
C41H80O13P2|-H,1,1
C41H82O13P2|-H,1,1
C42H74NO10P|-H,4,4
C42H74NO8P|-H,1,1
C42H74NO9P|-H,1,1
C42H75O10P|-H,4,4
C42H77NO11S|-H,2,2
C42H78NO10P|-H,4,4
C42H79O10P|-H,2,2
C42H79O10P|[M]-,1,1
C42H80NO10P|-H,4,4
C42H80NO9P|-H,2,2
C42H81NO3|+Cl,2,2
C42H81NO3|-H,1,1
C42H81O10P|-H,2,2
C42H81O7P|[M]-,1,1
C42H82NO6P|-H,1,1
C42H83O7P|-H,1,1
C42H84NO9P|-H,5,4
C43H72NO8P|-H,1,1
C43H74N2O14|-H,1,1
C43H74NO7P|-H,3,3
C43H74NO8P|-H,5,5
C43H76NO7P|-H,4,4
C43H76NO8P|+Cl,2,2
C43H76NO8P|-H,5,5
C43H77NO9|-H,1,1
C43H77O8P|-H,1,1
C43H78NO7P|-H,5,5
C43H78NO8P|+Cl,2,2
C43H78NO8P|-H,8,8
C43H78NO8P|[M]-,1,1
C43H79O13P|-H,1,1
C43H79O13P|[M]-,1,1
C43H80NO7P|-H,2,2
C43H80NO8P|-H,1,1
C43H80O13P2|-H,1,1
C43H80O13P|-H,1,1
C43H80O13P|[M]-,1,1
C43H81O10P|[M]-,5,4
C43H81O13P|-H,1,1
C43H82NO10P|-H,1,1
C43H82O6|+Cl,1,1
C43H84NO10P|-H,1,1
C44H74NO10P|-H,4,4
C44H74NO8P|-H,1,1
C44H75O10P|-H,1,1
C44H75O8P|[M]-,9,6
C44H75O9P|-H,1,1
C44H76NO10P|-H,1,1
C44H76NO8P|-H,1,1
C44H77NO10P|-H,1,1
C44H77NO10P|[M]-,1,1
C44H77O10P|-H,1,1
C44H78NO10P|-H,8,8
C44H78NO8P|-H,1,1
C44H78NO9P|-H,1,1
C44H79O10P|-H,1,1
C44H79O7P|[M]-,1,1
C44H80NO10P|-H,3,3
C44H81O7P|-H,1,1
C44H84NO6P|-H,1,1
C44H85NO11S|-H,1,1
C44H85NO12S|-H,2,2
C44H86NO6P|-H,1,1
C44H88NO8P|[M]-,1,1
C44H89NO8P|-H,1,1
C45H74NO8P|-H,1,1
C45H76NO7P|-H,5,5
C45H76NO8P|-H,4,4
C45H78NO7P|-H,4,4
C45H78NO8P|-H,5,5
C45H79O12P|-H,1,1
C45H79O13P|-H,3,3
C45H80NO7P|-H,2,2
C45H80NO8P|-H,1,1
C45H81O12P|-H,1,1
C45H81O13P|-H,2,2
C45H82NO8P|-H,3,3
C45H83O13P|-H,2,2
C45H85N2O6P|-H,1,1
C46H75O10P|-H,3,3
C46H76NO10P|-H,2,2
C46H76NO8P|-H,1,1
C46H76O15|-H,1,1
C46H77O10P|-H,1,1
C46H78NO10P|-H,4,4
C46H78NO8P|-H,1,1
C46H79O10P|-H,1,1
C46H79O7P|[M]-,1,1
C46H79O8P|[M]-,1,1
C46H80NO10P|-H,4,4
C46H80NO7P|-H,1,1
C46H81NO10P|-H,1,1
C46H81O7P|[M]-,3,3
C46H82NO10P|-H,4,4
C46H83O12P|-H,1,1
C46H89NO11S|-H,1,1
C46H89NO12S|-H,2,2
C46H89NO8|+Cl,2,2
C46H91N2O6P|-H,1,1
C46H93N2O6P|-H,1,1
C47H79O12P|-H,7,4
C47H79O13P|-H,3,3
C47H81O13P|-H,2,2
C47H82NO10P|-H,2,2
C47H83NO10P|-H,1,1
C47H83O10P|-H,1,1
C47H83O13P|-H,8,8
C47H84NO9P|-H,1,1
C47H85O13P|-H,5,5
C47H87O13P|-H,1,1
C47H88NO8P|-H,1,1
C47H91O12P|[M]-,1,1
C47H93O12P|[M]-,1,1
C48H75O10P|-H,3,3
C48H76NO10P|[M]-,1,1
C48H77O10P|-H,1,1
C48H78NO10P|-H,1,1
C48H80NO10P|[M]-,1,1
C48H82NO10P|-H,1,1
C48H84NO10P|-H,1,1
C48H87O12P|-H,9,8
C48H91NO11S|-H,1,1
C48H93NO11S|-H,2,2
C48H93NO13|-H,1,1
C48H93O12P|[M]-,3,3
C49H80NO8P|-H,1,1
C49H82NO7P|-H,1,1
C49H85O10P|-H,2,2
C49H86NO10P|-H,1,1
C49H87NO10P|-H,1,1
C49H88NO10P|-H,1,1
C49H92NO8P|-H,1,1
C4H10NO4P|+Cl,1,1
C50H75O10P|-H,5,5
C50H76NO10P|[M]-,1,1
C50H78NO10P|-H,1,1
C50H80NO10P|[M]-,1,1
C50H82NO10P|-H,1,1
C50H88NO10P|-H,1,1
C50H89NO10P|-H,1,1
C50H89O10P|-H,1,1
C50H90NO10P|-H,1,1
C50H98N2O9|-H,1,1
C51H92NO9P|-H,1,1
C52H92NO8P|-H,2,2
C53H100O6|+Cl,2,2
C53H96O6|+Cl,2,2
C53H98O6|+Cl,2,2
C54H101O7P|-H,2,2
C54H82O4|+Cl,2,2
C54H99O7P|-H,2,2
C55H100O6|+Cl,2,2
C55H102O6|+Cl,2,2
C55H98O6|+Cl,2,2
C57H86O4|[M]-,1,1
C5H11O7P|-H,2,2
C5H13O7P|-H,4,4
C5H14NO6P|-H,3,3
C6H10CaO6|+Cl,1,1
C6H10MgO6|+Cl,1,1
C6H10MgO6|-H,1,1
C6H10N2O6S|+Cl,2,2
C6H10O6|+Cl,4,4
C6H12N2O4S2|-H,2,2
C6H12O6|+Cl,10,10
C6H13N3O3|+Cl,2,2
C6H13NO5|+Cl,1,1
C6H13O9P|-H,1,1
C6H14O6|+Cl,4,4
C6H2Cl4O2|-H,9,9
C6H6O6|+Cl,2,2
C6H8O6|+Cl,3,3
C6H8O7|+Cl,2,2
C7H12N2O5|-H,2,2
C7H13Cl2N2O3P|-H,1,1
C7H13O5PS|+Cl,1,1
C7H14O6|+Cl,2,2
C7H8N4O2|+Cl,13,12
