variant,order,method,source_id,kind,sphere_a,sphere_b
m1-head,1,permutation_label_invariant,539,view,0.9697912195193701,-0.24393644775459994
m1-head,1,permutation_label_invariant,436,view,0.9972714561872998,-0.07382169514487115
m1-head,1,permutation_label_invariant,453,view,0.8816470087060687,-0.4719094744118208
m1-head,1,permutation_label_invariant,406,view,0.9540624410371681,-0.2996078413563301
m1-head,1,permutation_label_invariant,539,view,0.9629825644874555,-0.2695636854124893
m1-head,1,permutation_label_invariant,436,view,0.9986692131211318,0.05157327567664348
m1-head,1,permutation_label_invariant,453,view,0.886114374134932,-0.4634666287355086
m1-head,1,permutation_label_invariant,406,view,0.9352855734610269,-0.3538939051123627
m1-head,1,permutation_label_invariant,539,view,0.9697455890075525,-0.24411778427716987
m1-head,1,permutation_label_invariant,436,view,0.9914637954563182,-0.1303822928903752
m1-head,1,permutation_label_invariant,453,view,0.8885971125890694,-0.45868853430009404
m1-head,1,permutation_label_invariant,406,view,0.9383360970796962,-0.3457244118040302
m1-head,1,permutation_label_invariant,539,view,0.9700187440482544,-0.24303011376174558
m1-head,1,permutation_label_invariant,436,view,0.9879822015985125,-0.15456768525327721
m1-head,1,permutation_label_invariant,453,view,0.8727824505686179,-0.48810940779648737
m1-head,1,permutation_label_invariant,406,view,0.9352887624848806,-0.35388547691237693
m1-head,1,permutation_label_invariant,539,view,0.9674698048480055,-0.2529865148725554
m1-head,1,permutation_label_invariant,436,view,0.9923651344424715,-0.12333466642828064
m1-head,1,permutation_label_invariant,453,view,0.9042837146668682,-0.42693203602949503
m1-head,1,permutation_label_invariant,406,view,0.9330070821597817,-0.3598580062186892
m1-head,1,permutation_label_invariant,539,view,0.9688282658687408,-0.2477333067106003
m1-head,1,permutation_label_invariant,436,view,0.9962931461390103,-0.08602306060837484
m1-head,1,permutation_label_invariant,453,view,0.8780560264949845,-0.4785578484737647
m1-head,1,permutation_label_invariant,406,view,0.9460991925172526,-0.3238770104811425
m1-head,1,permutation_label_invariant,539,view,0.9570014624744911,-0.29008309296076673
m1-head,1,permutation_label_invariant,436,view,0.991668102028506,-0.12881915781117556
m1-head,1,permutation_label_invariant,453,view,0.8838904385292428,-0.46769401607951194
m1-head,1,permutation_label_invariant,406,view,0.9355174092217121,-0.35328059250841315
m1-head,1,permutation_label_invariant,539,view,0.9695879516892397,-0.24474313869660155
m1-head,1,permutation_label_invariant,436,view,0.9948742790814031,-0.10111957684967901
m1-head,1,permutation_label_invariant,453,view,0.8821326580127812,-0.4710010336159627
m1-head,1,permutation_label_invariant,406,view,0.9329088667156059,-0.3601125468564008
m1-head,1,permutation_label_invariant,539,view,0.9691047561260832,-0.2466494914930997
m1-head,1,permutation_label_invariant,436,view,0.9948551951078521,-0.10130716049182921
m1-head,1,permutation_label_invariant,453,view,0.9054930901630718,-0.4243610062988008
m1-head,1,permutation_label_invariant,406,view,0.9348879837182205,-0.3549428938565755
m1-head,1,permutation_label_invariant,539,view,0.9712891838893994,-0.23790191520764226
m1-head,1,permutation_label_invariant,436,view,0.9921202418126898,-0.12528936820628467
m1-head,1,permutation_label_invariant,453,view,0.9485213217599013,-0.3167132806922524
m1-head,1,permutation_label_invariant,406,view,0.9367847218295884,-0.34990625165415407
m1-head,1,permutation_label_invariant,539,view,0.9690479813622959,-0.2468724565796257
m1-head,1,permutation_label_invariant,436,view,0.992419425014814,-0.12289704981514321
m1-head,1,permutation_label_invariant,453,view,0.8850553789279116,-0.4654857422421984
m1-head,1,permutation_label_invariant,406,view,0.9366352432069921,-0.35030618205018643
m1-head,1,permutation_label_invariant,539,view,0.968343218747086,-0.24962253645561094
m1-head,1,permutation_label_invariant,436,view,0.9910289765453486,-0.13364717598018563
