campaign,variant,repetition,scope,metryka,wartość
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,micro_f1,0.3826789336424225
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,micro_precision,0.48826139199556334
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,micro_recall,0.3146405384477932
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,hamming_loss,0.273315532462534
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,3,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),average_precision,0.34327229122511793
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),roc_auc,0.5617956650605589
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),macro_f1,0.05153691142988848
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),macro_precision,0.045704482713722246
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),macro_recall,0.10478775387081674
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),micro_f1,0.1353647839043418
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),micro_precision,0.07924813629350773
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),micro_recall,0.4637577369686429
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),hamming_loss,0.34002468091935933
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,average_precision,0.41440983869238823
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,roc_auc,0.6535419556426207
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,macro_f1,0.19334292566064354
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,macro_precision,0.2178706738109365
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,macro_recall,0.30550896437755576
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,micro_f1,0.37668434027895037
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,micro_precision,0.4349555451567618
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,micro_recall,0.33218178569301327
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,hamming_loss,0.2959915967060371
kidney-nnpu-long-training__cfg_ea47f92b36b9,nnpu,4,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
