variant,repetition,class_index,quintile,average_precision
0006,1,82.0,4,0.34803344104918893
0006,1,105.0,1,0.49419071649859797
0006,1,106.0,1,0.25343069148037267
0006,1,124.0,4,0.44009519863855384
0006,1,126.0,0,0.24659529579102157
0006,1,130.0,4,0.7017218988045433
0006,1,135.0,4,0.6045287138281611
0006,1,142.0,4,0.6107663147866822
0006,1,173.0,4,0.5242668860290866
0006,1,175.0,3,0.26772785505422503
0006,1,177.0,0,0.24646411539077212
0006,1,179.0,0,0.0004053083549495298
0006,1,187.0,0,0.004738683356906185
0006,1,214.0,4,0.6553077934987421
0006,1,218.0,3,0.26203427085342174
0006,1,219.0,3,0.25776305600407656
0006,1,263.0,2,0.08459457710293164
0006,1,326.0,4,0.08309456976734164
0006,1,335.0,3,0.2629603011084083
0006,1,340.0,4,0.12627725400126358
0006,1,357.0,1,0.396362713761714
0006,1,372.0,4,0.3613160133888037
0006,1,387.0,2,0.674185999673611
0006,1,394.0,4,0.33117342853347
0006,1,447.0,4,0.34927021516650375
0006,1,461.0,2,0.49789067481521276
0006,1,490.0,1,0.8209931088357719
0006,1,493.0,3,0.6963569135217956
0006,2,24.0,1,0.1885944842449786
0006,2,36.0,2,0.6700723527633606
0006,2,57.0,1,0.21112523293031862
0006,2,82.0,4,0.3601547713546321
0006,2,105.0,1,0.5782471264381638
0006,2,106.0,1,0.09554613843394899
0006,2,124.0,4,0.8098607139938296
0006,2,126.0,0,0.2415924636011633
0006,2,130.0,4,0.8822549566565603
0006,2,135.0,4,0.8899604134796482
0006,2,142.0,4,0.9651677161537249
0006,2,173.0,4,0.8747387905036139
0006,2,175.0,3,0.26606998614005295
0006,2,177.0,0,0.26322364675924226
0006,2,179.0,0,0.0004101502897545171
0006,2,187.0,0,0.012784061776535217
0006,2,214.0,4,0.9391385979939684
0006,2,218.0,3,0.25488699647426716
0006,2,219.0,3,0.2528930874409138
0006,2,263.0,2,0.09787689510712792
0006,2,326.0,4,0.03170801430076209
0006,2,335.0,3,0.26229017437648056
0006,2,340.0,4,0.08493514967416635
0006,2,357.0,1,0.4279334290314691
0006,2,372.0,4,0.9384903408783742
0006,2,387.0,2,0.5970461989071771
0006,2,394.0,4,0.8301098223620876
0006,2,447.0,4,0.898921014278244
0006,2,461.0,2,0.5266908535493539
0006,2,490.0,1,0.9332707539315147
0006,2,493.0,3,0.693764366107019
0006,3,24.0,1,0.1345736922548594
0006,3,36.0,2,0.610671669955978
0006,3,57.0,1,0.21278532398055977
0006,3,82.0,4,0.36769376473234094
0006,3,105.0,1,0.5115431992275518
0006,3,106.0,1,0.1723929446496406
0006,3,124.0,4,0.5645977704101759
0006,3,126.0,0,0.2485315599897334
0006,3,130.0,4,0.6685312968111574
0006,3,135.0,4,0.6595141672168219
0006,3,142.0,4,0.8838808390600635
0006,3,173.0,4,0.6555763331008497
0006,3,175.0,3,0.27355936068395803
0006,3,177.0,0,0.2334783497237441
0006,3,179.0,0,0.0004465523315003374
0006,3,187.0,0,0.012162322900975665
0006,3,214.0,4,0.6754972060131017
0006,3,218.0,3,0.26045203363122393
0006,3,219.0,3,0.26085814087010084
0006,3,263.0,2,0.09954085694441224
0006,3,326.0,4,0.12198559045091428
0006,3,335.0,3,0.26782541759902934
0006,3,340.0,4,0.14448984726922792
0006,3,357.0,1,0.42881453478029
0006,3,372.0,4,0.7420146989961811
0006,3,387.0,2,0.6225022753036191
0006,3,394.0,4,0.6289096112527801
